"Bevolking; kerncijfers"
"Onderwerpen_1";"Onderwerpen_2";"Perioden";"Waarde eenheid";"Waarde"
"Bevolkingsgroei";"Immigratie";"2010";"aantal";"154432"
"Bevolkingsgroei";"Immigratie";"2014";"aantal";"182949"
"Bevolkingsgroei";"Immigratie";"2015";"aantal";"204615"
"Bevolkingsgroei";"Immigratie";"2016";"aantal";"230739"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1950";"aantal";"50697"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1955";"aantal";"57267"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1960";"aantal";"58226"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1965";"aantal";"57808"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1970";"aantal";"57375"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1975";"aantal";"55209"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1980";"aantal";"61948"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1985";"aantal";"59475"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1990";"aantal";"68939"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"1995";"aantal";"82195"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"2000";"aantal";"78977"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"2005";"aantal";"119725"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"2010";"aantal";"121351"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"2014";"aantal";"147862"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"2015";"aantal";"149509"
"Bevolkingsgroei";"Emigratie inclusief administratieve c...";"2016";"aantal";"151545"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1950";"aantal";"19905"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1955";"aantal";"-5198"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1960";"aantal";"-12819"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1965";"aantal";"18764"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1970";"aantal";"33454"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1975";"aantal";"72055"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1980";"aantal";"50556"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1985";"aantal";"19887"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1990";"aantal";"48411"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"1995";"aantal";"13904"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"2000";"aantal";"53873"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"2005";"aantal";"-27428"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"2010";"aantal";"33081"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"2014";"aantal";"35087"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"2015";"aantal";"55106"
"Bevolkingsgroei";"Migratiesaldo inclusief administratie...";"2016";"aantal";"79194"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 3-11-2017"
